ID,VIDEO_ID,TITLE,PUBLISHEDAT,CHANNELID,CHANNELTITLE,CATEGORYID,CATEGORY_TITLE,TRENDING_DATE,VIEW_COUNT,LIKES,DISLIKES,COMMENT_COUNT,COMMENTS_DISABLED,COUNTRY
93db249d-83f6-4c96-b2d3-badde88e4b05,hx48jaOroRQ,Кто захватил столицу Сибири и как её освободить,2020-08-31,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-01,3049422,339368,7806,56075,FALSE,RU
eb6f233a-8dec-4e73-9423-416e073e25af,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-07-05,950967,210652,926,55066,FALSE,BR
0c9bd415-3eb0-4abb-a0ea-5f692b973a74,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-07-04,930668,208920,907,54898,FALSE,BR
36499090-cd8a-4674-a27e-42ac6d4c8906,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-07-03,914378,207409,897,54728,FALSE,BR
113179a5-3f67-4b71-9876-414799fc627c,Cs1b5qvCZ54,Тайна валдайской дачи Путина,2021-04-15,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-18,4787975,436803,19051,54557,FALSE,RU
e64b0235-c11c-44d5-b24c-1cc568deb06d,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-07-02,889301,204469,865,54403,FALSE,BR
986015d8-fd29-4946-963b-f47798f500c8,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-07-01,861594,201555,831,54043,FALSE,BR
5ae65f4d-31cf-411a-8f96-f7b532aa9864,ThjrXToqqpw,Как освободить Навального. Наш план,2021-03-23,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-25,2092345,270606,14463,53904,FALSE,RU
1edb1f32-ecdd-49c0-9a30-778838298cce,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-06-30,823122,197454,779,53465,FALSE,BR
c48577be-6cb3-413c-b747-4dad4efd6f47,5pMl6InVBlA,"Привет, это Навальный",2020-10-08,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-10-10,2418100,421177,13891,53428,FALSE,RU
